Match Number,Status,Competitor 1,Competitor 2,Bracket Link,Competitor 1 Profile,Competitor 2 Profile,Source URL
2-43,Finished,"Herra Rose The Last Dragon
      Alpha Miami Grappling","Sahara Wells
      ATOS  HQ",https://adcc.smoothcomp.com/en/event/19885/bracket/1318426,https://smoothcomp.com/en/profile/546119,https://smoothcomp.com/en/profile/340869,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
3-38,Finished,"Giovanni Loria Jr.
      10th Planet Vancouver","Lucas Duarte
      BJJ Olympia",https://adcc.smoothcomp.com/en/event/19885/bracket/1318549,https://smoothcomp.com/en/profile/1044122,https://smoothcomp.com/en/profile/640026,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
9-112,Finished,"Ben Richards
      Impact Jiu Jitsu Wilsonville","Joel Amundson
      Lone Wolf BJJ",https://adcc.smoothcomp.com/en/event/19885/bracket/1318630,https://smoothcomp.com/en/profile/1670287,https://smoothcomp.com/en/profile/1098158,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
5-134,Finished,"Thomas Harper
      10th Planet Portland","Paul Yakis
      Impact Jiu Jitsu Salem",https://adcc.smoothcomp.com/en/event/19885/bracket/1318674,https://smoothcomp.com/en/profile/1412994,https://smoothcomp.com/en/profile/1081380,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
10-108,Finished,"Samantha Deugan
      Grays Harbor Grappling Academy","Jerrah King
      Grey Wolf Brazilian Jiu-Jitsu",https://adcc.smoothcomp.com/en/event/19885/bracket/1318746,https://smoothcomp.com/en/profile/742705,https://smoothcomp.com/en/profile/880464,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
6-35,Finished,"Drew Lawson
      Morumbi Jiu Jitsu","Brinley Wallin
      Team Butler Brazilian Jiu Jitsu - Bonney Lake",https://adcc.smoothcomp.com/en/event/19885/bracket/1319737,https://smoothcomp.com/en/profile/822016,https://smoothcomp.com/en/profile/1376053,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
3-102,Finished,"Elyse Shaw
      The Tradewinds Network","Kelly Egge
      Conquest Self Defense",https://adcc.smoothcomp.com/en/event/19885/bracket/1320322,https://smoothcomp.com/en/profile/476916,https://smoothcomp.com/en/profile/667373,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
1-1,Finished,"Kayan Eskandari
      V1sion Checkmat Ladera Ranch

            Won by Submission                          - 00:13","Finn Robertson
      Gracie Barra Kitsilano",https://adcc.smoothcomp.com/en/event/19885/bracket/1318530,https://smoothcomp.com/en/profile/737441,https://smoothcomp.com/en/profile/1033713,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
9-1,Finished,"Sariah The Last Panda
      Alpha Miami Grappling

            Won by points                          - 04:00","Max Trutzschler
      Combat Arts Academy",https://adcc.smoothcomp.com/en/event/19885/bracket/1318513,https://smoothcomp.com/en/profile/1233816,https://smoothcomp.com/en/profile/1001245,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
12-1,Finished,"Robbie Dodgin
      100 Kilos JiuJitsu

            Won by Submission                          - 01:59","Ben Vander Linden
      BJJ Olympia",https://adcc.smoothcomp.com/en/event/19885/bracket/1318514,https://smoothcomp.com/en/profile/1586221,https://smoothcomp.com/en/profile/1855727,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
4-1,Finished,"Lukas Nelson
      Columns (CBJJ)","Holden McGlathery
      Siri Brazilian Jiu-Jitsu

            Won by points",https://adcc.smoothcomp.com/en/event/19885/bracket/1318525,https://smoothcomp.com/en/profile/1181632,https://smoothcomp.com/en/profile/1913803,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
10-1,Finished,"Vesper Ortega
      Lōgōs JJ

            Won by Submission                          - 03:21","Mercedes Banegas
      Atos Temecula",https://adcc.smoothcomp.com/en/event/19885/bracket/1318391,https://smoothcomp.com/en/profile/781315,https://smoothcomp.com/en/profile/1892741,https://adcc.smoothcomp.com/en/event/19885/schedule/matchlist?page=1
