alive,alive_since,anonymity,average_timeout,first_seen,ip_data,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
True,1742797639.666716,elite,839.8048072608549,1742739584.869044,"{'as': 'AS132203 Tencent Building, Kejizhongyi Avenue', 'asname': 'TENCENT-NET-AP-CN', 'city': 'Santa Clara', 'continent': 'North America', 'continentCode': 'NA', 'country': 'United States', 'countryCode': 'US', 'district': '', 'hosting': True, 'isp': 'Shenzhen Tencent Computer Systems Company Limited', 'lat': 37.3541, 'lon': -121.9552, 'mobile': False, 'org': 'Tencent Cloud Computing', 'proxy': False, 'regionName': 'California', 'status': 'success', 'timezone': 'America/Los_Angeles', 'zip': ''}",1742739586,1742798616.4685585,13001,http,http://43.153.25.185:13001,False,451.69520378112793,536,173,75.59943582510579,43.153.25.185
True,1742797953.7655172,elite,967.5314369759568,1742741421.1355174,"{'as': 'AS132203 Tencent Building, Kejizhongyi Avenue', 'asname': 'TENCENT-NET-AP-CN', 'city': 'Santa Clara', 'continent': 'North America', 'continentCode': 'NA', 'country': 'United States', 'countryCode': 'US', 'district': '', 'hosting': True, 'isp': 'Shenzhen Tencent Computer Systems Company Limited', 'lat': 37.3541, 'lon': -121.9552, 'mobile': False, 'org': 'Tencent Cloud Computing', 'proxy': False, 'regionName': 'California', 'status': 'success', 'timezone': 'America/Los_Angeles', 'zip': ''}",1742741421,1742798615.149994,13001,http,http://43.153.32.33:13001,False,1453.1896114349365,547,141,79.50581395348837,43.153.32.33
True,1742798609.0302296,elite,846.2071750737443,1742745048.6495552,"{'as': 'AS132203 Tencent Building, Kejizhongyi Avenue', 'asname': 'TENCENT-NET-AP-CN', 'city': 'Santa Clara', 'continent': 'North America', 'continentCode': 'NA', 'country': 'United States', 'countryCode': 'US', 'district': '', 'hosting': True, 'isp': 'Shenzhen Tencent Computer Systems Company Limited', 'lat': 37.3541, 'lon': -121.9552, 'mobile': False, 'org': 'Tencent Cloud Computing', 'proxy': False, 'regionName': 'California', 'status': 'success', 'timezone': 'America/Los_Angeles', 'zip': ''}",1742745049,1742798609.0302296,13001,http,http://43.153.71.55:13001,False,477.15210914611816,474,169,73.71695178849144,43.153.71.55
True,1742798508.910284,elite,1093.2414849599202,1742091902.8343375,"{'as': 'AS36666 GloboTech Communications', 'asname': 'GTCOMM', 'city': 'Montreal', 'continent': 'North America', 'continentCode': 'NA', 'country': 'Canada', 'countryCode': 'CA', 'district': 'Ville-Marie', 'hosting': True, 'isp': 'GloboTech Communications', 'lat': 45.5049, 'lon': -73.573, 'mobile': False, 'org': '', 'proxy': True, 'regionName': 'Quebec', 'status': 'success', 'timezone': 'America/Toronto', 'zip': 'H4X'}",1742765376,1742798610.252588,27111,http,http://67.43.227.228:27111,False,587.9337787628174,15,3182,0.46918986549890523,67.43.227.228
True,1742798611.4351332,elite,599.9412692487962,1742749956.368602,"{'as': 'AS132203 Tencent Building, Kejizhongyi Avenue', 'asname': 'TENCENT-NET-AP-CN', 'city': 'Santa Clara', 'continent': 'North America', 'continentCode': 'NA', 'country': 'United States', 'countryCode': 'US', 'district': '', 'hosting': True, 'isp': 'Shenzhen Tencent Computer Systems Company Limited', 'lat': 37.3541, 'lon': -121.9552, 'mobile': False, 'org': 'Tencent Cloud Computing', 'proxy': False, 'regionName': 'California', 'status': 'success', 'timezone': 'America/Los_Angeles', 'zip': ''}",1742749957,1742798611.4351332,13001,http,http://43.153.77.164:13001,False,447.22986221313477,413,172,70.5982905982906,43.153.77.164
True,1742798371.1891754,elite,780.9091925356711,1742746396.4217603,"{'as': 'AS132203 Tencent Building, Kejizhongyi Avenue', 'asname': 'TENCENT-NET-AP-CN', 'city': 'Tokyo', 'continent': 'Asia', 'continentCode': 'AS', 'country': 'Japan', 'countryCode': 'JP', 'district': '', 'hosting': True, 'isp': 'Shenzhen Tencent Computer Systems Company Limited', 'lat': 35.6893, 'lon': 139.6899, 'mobile': False, 'org': 'Aceville Pte.ltd', 'proxy': False, 'regionName': 'Tokyo', 'status': 'success', 'timezone': 'Asia/Tokyo', 'zip': '151-0053'}",1742746398,1742798613.6140134,13001,http,http://43.167.176.198:13001,False,783.2381725311279,451,177,71.81528662420382,43.167.176.198
True,1742798614.5949726,elite,776.6415620151954,1742745081.3537846,"{'as': 'AS132203 Tencent Building, Kejizhongyi Avenue', 'asname': 'TENCENT-NET-AP-CN', 'city': 'Tokyo', 'continent': 'Asia', 'continentCode': 'AS', 'country': 'Japan', 'countryCode': 'JP', 'district': '', 'hosting': True, 'isp': 'Shenzhen Tencent Computer Systems Company Limited', 'lat': 35.6893, 'lon': 139.6899, 'mobile': False, 'org': 'Tencent Cloud Computing (Beijing) Co., Ltd', 'proxy': False, 'regionName': 'Tokyo', 'status': 'success', 'timezone': 'Asia/Tokyo', 'zip': '151-0053'}",1742745430,1742798614.5949726,13001,http,http://43.167.193.59:13001,False,838.9759063720703,474,167,73.94695787831513,43.167.193.59
True,1742797881.3032963,elite,761.9810190286722,1742786633.7865424,"{'as': 'AS132203 Tencent Building, Kejizhongyi Avenue', 'asname': 'TENCENT-NET-AP-CN', 'city': 'Tokyo', 'continent': 'Asia', 'continentCode': 'AS', 'country': 'Japan', 'countryCode': 'JP', 'district': '', 'hosting': True, 'isp': 'Shenzhen Tencent Computer Systems Company Limited', 'lat': 35.6761, 'lon': 139.6503, 'mobile': False, 'org': 'Tencent Cloud Computing', 'proxy': False, 'regionName': 'Tokyo', 'status': 'success', 'timezone': 'Asia/Tokyo', 'zip': ''}",1742786635,1742798613.6169965,13001,http,http://43.153.158.10:13001,False,736.0203266143799,111,39,74,43.153.158.10
True,1742798355.2662292,transparent,853.0954890377262,1742423277.704944,"{'as': 'AS61503 SERVICIOS DE TELECOMUNICACIONES INTERCABLE LTDA.', 'asname': 'SERVICIOS DE TELECOMUNICACIONES INTERCABLE LTDA.', 'city': 'Santiago', 'continent': 'South America', 'continentCode': 'SA', 'country': 'Chile', 'countryCode': 'CL', 'district': '', 'hosting': False, 'isp': 'Servicios De Telecomunicaciones Intercable Ltda.', 'lat': -33.4521, 'lon': -70.6536, 'mobile': False, 'org': 'RedCentral Telecomunicaion Limitada', 'proxy': False, 'regionName': 'Santiago Metropolitan', 'status': 'success', 'timezone': 'America/Santiago', 'zip': '34033'}",1742423279,1742798610.487489,999,http,http://38.250.127.81:999,False,800.2753257751465,4462,75,98.3469252810227,38.250.127.81
True,1742798030.4771707,elite,685.141611415728,1742747164.9917195,"{'as': 'AS132203 Tencent Building, Kejizhongyi Avenue', 'asname': 'TENCENT-NET-AP-CN', 'city': 'Santa Clara', 'continent': 'North America', 'continentCode': 'NA', 'country': 'United States', 'countryCode': 'US', 'district': '', 'hosting': True, 'isp': 'Shenzhen Tencent Computer Systems Company Limited', 'lat': 37.3541, 'lon': -121.9552, 'mobile': False, 'org': 'Tencent Cloud Computing', 'proxy': False, 'regionName': 'California', 'status': 'success', 'timezone': 'America/Los_Angeles', 'zip': ''}",1742747166,1742798616.84146,13001,http,http://43.153.85.209:13001,False,439.4564628601074,452,166,73.13915857605178,43.153.85.209
True,1742749782.268464,elite,905.3271831408046,1740425380.0961084,"{'as': 'AS212477 RoyaleHosting BV', 'asname': 'ROYALE-AS', 'city': 'Amsterdam', 'continent': 'Europe', 'continentCode': 'EU', 'country': 'The Netherlands', 'countryCode': 'NL', 'district': '', 'hosting': False, 'isp': 'RoyaleHosting BV', 'lat': 52.352, 'lon': 4.9392, 'mobile': False, 'org': 'RoyaleHosting BV', 'proxy': True, 'regionName': 'North Holland', 'status': 'success', 'timezone': 'Europe/Amsterdam', 'zip': '1098'}",1742240011,1742798604.1877015,18080,http,http://45.140.143.77:18080,False,62.70241737365723,28901,124,99.57278208441,45.140.143.77
