Fighter ID,First Name,Last Name,Nickname,Team,Profile URL
8141,Aarae,Alexander,,Team Lloyd Irvin,https://www.bjjheroes.com/?p=8141
9246,Aaron,Johnson,Tex,Unity JJ,https://www.bjjheroes.com/?p=9246
8494,Abdurakhman,Bilarov,,Team Nogueira,https://www.bjjheroes.com/?p=8494
390,Abmar,Barbosa,,,https://www.bjjheroes.com/?p=390
3083,Abraham,Marte Messina,,Yamasaki / Basico,https://www.bjjheroes.com/?p=3083
8814,Adam,Benayoun,,Fifty/50 Martial Arts Academy,https://www.bjjheroes.com/?p=8814
8131,Adam,Ferrara,,GF Team,https://www.bjjheroes.com/?p=8131
1133,Adam,Kayoom,,BKK BJJ,https://www.bjjheroes.com/?p=1133
7478,Adam,Wardzinski,Megatron,Checkmat,https://www.bjjheroes.com/?p=7478
13245,Ademir,Barreto,,GF Team,https://www.bjjheroes.com/?p=13245
6339,Admilson,Brites,Juquinha,Gracie Humaita,https://www.bjjheroes.com/?p=6339
8968,Admilson,Gobi Junior,,,https://www.bjjheroes.com/?p=8968
9541,Aniel,Bonifacio,,Rodrigo Carvalho JJ,https://www.bjjheroes.com/?p=9541
13498,Adele,Fornarino,,Team Dominance,https://www.bjjheroes.com/?p=13498
699,Adriana,Martins,,Akxe,https://www.bjjheroes.com/?p=699
1116,Adriano,Martins,,,https://www.bjjheroes.com/?p=1116
909,Adriano,Silva,,Barbosa JJ,https://www.bjjheroes.com/?p=909
4328,AJ,Agazarm,,Gracie Barra,https://www.bjjheroes.com/?p=4328
2189,Alan,Belcher,,,https://www.bjjheroes.com/?p=2189
289,Alan,do Nascimento,Finfou,Checkmat,https://www.bjjheroes.com/?p=289
2583,Alan,Moraes,,Carlson Gracie,https://www.bjjheroes.com/?p=2583
12235,Alan,Sanchez,,10th Planet,https://www.bjjheroes.com/?p=12235
696,Alberto,Carmona,Beto,Akxe,https://www.bjjheroes.com/?p=696
2611,Alberto,Crane,,Gracie Barra,https://www.bjjheroes.com/?p=2611
9876,Alef,Brito,,Ares JJ,https://www.bjjheroes.com/?p=9876
7660,Alex,Martins,,AMBJJ,https://www.bjjheroes.com/?p=7660
11746,Alex,Munis,,,https://www.bjjheroes.com/?p=11746
13084,Alex,Nguyen,,Standard JJ,https://www.bjjheroes.com/?p=13084
1131,Alessandra,Vieira,Leka,,https://www.bjjheroes.com/?p=1131
1757,Alexander,Trans,,Checkmat,https://www.bjjheroes.com/?p=1757
1567,Alessandro,Capodeferro,,Barbosa JJ,https://www.bjjheroes.com/?p=1567
13533,Alehander,Mariano,,Atos,https://www.bjjheroes.com/?p=13533
9166,Alexandre,Barauna,,GF Team,https://www.bjjheroes.com/?p=9166
9312,Alexandre,Cavaliere,,Alliance,https://www.bjjheroes.com/?p=9312
449,Alexandre,de Souza,Pop,Gracie Floripa,https://www.bjjheroes.com/?p=449
474,Alexandre,Ceconi,,,https://www.bjjheroes.com/?p=474
727,Alexandre,de Freitas,Soca,Soca BJJ,https://www.bjjheroes.com/?p=727
9793,Alexandre,Jesus,Robinho,Calasans JJ,https://www.bjjheroes.com/?p=9793
9407,Alexandre,Molinaro,,Carlson Gracie,https://www.bjjheroes.com/?p=9407
666,Alexandre,Paiva,Gigi,Alliance,https://www.bjjheroes.com/?p=666
311,Alexandre,Pimentel,Pulga,Nova Geracao,https://www.bjjheroes.com/?p=311
1671,Alexandre,Puga,,Alliance,https://www.bjjheroes.com/?p=1671
84,Alexandre,Ribeiro,Xande,Ribeiro JJ,https://www.bjjheroes.com/?p=84
1517,Alexandre,Santos,,Cia Paulista,https://www.bjjheroes.com/?p=1517
8525,Alexandre,Vieira,,BTT,https://www.bjjheroes.com/?p=8525
12569,Alexandria,Enriquez,,Atos,https://www.bjjheroes.com/?p=12569
891,Alexsandro,Machado,Baiano,Checkmat,https://www.bjjheroes.com/?p=891
9377,Alexis,Alduncin,,Renzo Gracie Mexico,https://www.bjjheroes.com/?p=9377
8884,Alexsandro,Sodre,,Clube Feijão JJ,https://www.bjjheroes.com/?p=8884
10004,Ali,Monfaradi,,,https://www.bjjheroes.com/?p=10004
826,Allan,Goes,,,https://www.bjjheroes.com/?p=826
2052,Alvaro,Barreto,,,https://www.bjjheroes.com/?p=2052
1553,Alvaro,Bobadilla,Cabecao,GF Team,https://www.bjjheroes.com/?p=1553
9058,Amal,Amjahid,,C.E.N.S. Academy,https://www.bjjheroes.com/?p=9058
7012,Amanda,Alequin / Santana,Tubby,Marcio Cruz JJ,https://www.bjjheroes.com/?p=7012
12064,Amanda,Leve,,,https://www.bjjheroes.com/?p=12064
13078,Amanda,Magda,,Frates JJ,https://www.bjjheroes.com/?p=13078
8301,Amanda,Monteiro,,GF Team,https://www.bjjheroes.com/?p=8301
486,Amaury,Bitetti,,,https://www.bjjheroes.com/?p=486
1391,Amin,Touati,,Royce Gracie BJJ,https://www.bjjheroes.com/?p=1391
12639,Amy,Campo,,Zenith JJ,https://www.bjjheroes.com/?p=12639
13832,Ana Carolina,Lima Silva,,,https://www.bjjheroes.com/?p=13832
8888,Ana Carolina,Schmitt,,,https://www.bjjheroes.com/?p=8888
6979,Ana Carolina,Vieira,,GF Team,https://www.bjjheroes.com/?p=6979
2357,Ana Laura,Cordeiro,,Gracie Barra,https://www.bjjheroes.com/?p=2357
276,Ana Maria,Soares,India,,https://www.bjjheroes.com/?p=276
13920,Anabel,Lopez,,FZN / Checkmat,https://www.bjjheroes.com/?p=13920
11685,Anderson,Munis,,,https://www.bjjheroes.com/?p=11685
249,Anderson,Pereira,Deton,Brazilian Top Team,https://www.bjjheroes.com/?p=249
1101,Andrea,Baggio,,Manimal,https://www.bjjheroes.com/?p=1101
9615,Andre,Almeida,,Gracie Barra,https://www.bjjheroes.com/?p=9615
1716,Andre,Almeida,Dedeco,American Top Team,https://www.bjjheroes.com/?p=1716
144,Andre,Galvao,,Atos,https://www.bjjheroes.com/?p=144
11646,Andre,Gois,,Alliance,https://www.bjjheroes.com/?p=11646
7747,Andre,Maracaba,,Maracaba BJJ,https://www.bjjheroes.com/?p=7747
1640,Andre,Monteiro,,Nova Geracao,https://www.bjjheroes.com/?p=1640
78,Andre,Pederneiras,Dedé,Nova Uniao,https://www.bjjheroes.com/?p=78
11384,Andre,Porfirio,,Fight Sports,https://www.bjjheroes.com/?p=11384
1414,Andre,Quiles,,,https://www.bjjheroes.com/?p=1414
314,Andre,Terencio,Negao,Brazil 021,https://www.bjjheroes.com/?p=314
8519,Andressa,Cintra,,Checkmat,https://www.bjjheroes.com/?p=8519
11808,Andrew,Wiltse,,Pedigo Submission Fighting,https://www.bjjheroes.com/?p=11808
13172,Andrew,Tackett,,Brazilian Fight Factory,https://www.bjjheroes.com/?p=13172
11878,Andy,Murasaki,,Atos,https://www.bjjheroes.com/?p=11878
12703,Andy,Varela,,10th Planet,https://www.bjjheroes.com/?p=12703
8293,Angelica,Galvao,,Atos,https://www.bjjheroes.com/?p=8293
10638,Angelo,Claiborne,,Team Lloyd Irvin,https://www.bjjheroes.com/?p=10638
10764,Anna,Rodrigues,,Dream Art,https://www.bjjheroes.com/?p=10764
540,Anthony,Pacenski,Tony,BJJ Revolution,https://www.bjjheroes.com/?p=540
1104,Anthony,Perosh,The Hippo,Machado JJ,https://www.bjjheroes.com/?p=1104
957,Anthony,Scales,AJ,Nova Uniao,https://www.bjjheroes.com/?p=957
1236,Antonio Carlos,Junior,"Cara de Sapato, Shoe Face",Checkmat,https://www.bjjheroes.com/?p=1236
1536,Antonio,de Melo,,Brazil 021,https://www.bjjheroes.com/?p=1536
911,Antonio,Peinado,Batista,Alliance,https://www.bjjheroes.com/?p=911
9130,Antonio Roberto,Crivelari,Juninho,Checkmat,https://www.bjjheroes.com/?p=9130
1865,Antonio Rodrigo,Nogueira,Minotauro,,https://www.bjjheroes.com/?p=1865
12,Antonio,Schembri,Nino,,https://www.bjjheroes.com/?p=12
387,Antonio,Braga Neto,,Gordo JJ,https://www.bjjheroes.com/?p=387
13364,Arley,Pacheco,,Gracie Barra,https://www.bjjheroes.com/?p=13364
584,Arlisson,Melo,Kiki,Nova Uniao,https://www.bjjheroes.com/?p=584
9931,Arthur,Detanico,,JA BJJ,https://www.bjjheroes.com/?p=9931
13175,Ariel,Tabak,,,https://www.bjjheroes.com/?p=13175
260,Ary,Farias,Aryzinho,Atos,https://www.bjjheroes.com/?p=260
11703,Arya,Esfandmaz,,Pure JJ,https://www.bjjheroes.com/?p=11703
381,Armando,Wridt,Dedinho,Gracie JJ,https://www.bjjheroes.com/?p=381
9401,Ashley,Williams,,Chris Rees JJ,https://www.bjjheroes.com/?p=9401
1167,Augusto,Ferrari,,,https://www.bjjheroes.com/?p=1167
188,Augusto,Mendes,Tanquinho,Soul Fighters,https://www.bjjheroes.com/?p=188
2606,Augusto,Monteiro,,Associação Monteiro,https://www.bjjheroes.com/?p=2606
13332,Aurelie,Le Vern,,Gracie Humaita,https://www.bjjheroes.com/?p=13332
12203,Austin,Baker,,Gracie Barra,https://www.bjjheroes.com/?p=12203
13849,Austin,Oranday,,Oranday Bros,https://www.bjjheroes.com/?p=13849
1023,Baret,Yoshida,,Undisputed,https://www.bjjheroes.com/?p=1023
1119,Beatriz,Mesquita,,Gracie Humaita,https://www.bjjheroes.com/?p=1119
1998,Ben,Baxter,,Gracie Humaita,https://www.bjjheroes.com/?p=1998
425,Bernardo,Faria,,Alliance,https://www.bjjheroes.com/?p=425
1433,Bernardo,Pitel,,Nova Uniao,https://www.bjjheroes.com/?p=1433
1158,Bianca,Andrade,,Gracie Barra,https://www.bjjheroes.com/?p=1158
471,Bibiano,Fernandes,,Gracie Barra,https://www.bjjheroes.com/?p=471
898,Bill,Cooper,The Grill,,https://www.bjjheroes.com/?p=898
9385,Brandon,Walensky,,Clark Gracie Academy,https://www.bjjheroes.com/?p=9385
9048,Brenda,Heller,,GD Jiu Jitsu,https://www.bjjheroes.com/?p=9048
10862,Brenda,Larissa,,Escola Melqui Galvão,https://www.bjjheroes.com/?p=10862
7535,Bianca,Basilio,,Almeida JJ,https://www.bjjheroes.com/?p=7535
253,Jay Dee,Penn,"BJ, The Prodigy",,https://www.bjjheroes.com/?p=253
2358,Brandon,Mullins,Wolverine,Gracie Barra,https://www.bjjheroes.com/?p=2358
422,Braulio,Estima,Carcara,Gracie Barra,https://www.bjjheroes.com/?p=422
8298,Brian,Beauchamp,,Equipe Fabricio,https://www.bjjheroes.com/?p=8298
9640,Brian,Beaury,,Brian Beaury BJJ,https://www.bjjheroes.com/?p=9640
11354,Brian,Giorgio,,Alliance,https://www.bjjheroes.com/?p=11354
12599,Brianna,Ste-Marie,,BTT,https://www.bjjheroes.com/?p=12599
13577,Brigida,Carvalho Felipe,,Vision,https://www.bjjheroes.com/?p=13577
1659,Bruno,Alves,,Gracie Barra,https://www.bjjheroes.com/?p=1659
222,Bruno,Amorim,Robinho,Gracie Barra,https://www.bjjheroes.com/?p=222
7568,Bruno,Barbosa,,,https://www.bjjheroes.com/?p=7568
637,Bruno,Bastos,,Nova Uniao,https://www.bjjheroes.com/?p=637
684,Bruno,de Paula,,Alliance,https://www.bjjheroes.com/?p=684
1707,Bruno,Ferreira,,Nova Geracao,https://www.bjjheroes.com/?p=1707
174,Bruno,Frazatto,,Atos,https://www.bjjheroes.com/?p=174
10176,Bruno,Lima,,AMA BJJ,https://www.bjjheroes.com/?p=10176
283,Bruno,Malfacine,Bad Boy,Alliance,https://www.bjjheroes.com/?p=283
868,Bruno,Matias,,Checkmat,https://www.bjjheroes.com/?p=868
12069,Jose Bruno,Matias,,Gracie Barra,https://www.bjjheroes.com/?p=12069
3117,Bruno,Mendes,Tanque or Tank,Soul Fighters,https://www.bjjheroes.com/?p=3117
7672,Caio,Almeida,,Almeida JJ,https://www.bjjheroes.com/?p=7672
9217,Caio,Caetano,,,https://www.bjjheroes.com/?p=9217
10964,Caio,Paganini,,Alliance,https://www.bjjheroes.com/?p=10964
582,Caio,Terra,,CTBJJA,https://www.bjjheroes.com/?p=582
13051,Caio,Vinicius Santos,,Gracie Barra,https://www.bjjheroes.com/?p=13051
8624,Carina,Santi,,G13,https://www.bjjheroes.com/?p=8624
2160,Carley,Gracie,,,https://www.bjjheroes.com/?p=2160
2460,Carlos,Elias,Caique,,https://www.bjjheroes.com/?p=2460
36,Carlos,Gracie Senior,,Gracie JJ,https://www.bjjheroes.com/?p=36
297,Carlos,Gracie Junior,Carlinhos,,https://www.bjjheroes.com/?p=297
1400,Carlos,Henrique,,Brazil 021,https://www.bjjheroes.com/?p=1400
13192,Carlos,Henrique Campos,CH7,Dream Art,https://www.bjjheroes.com/?p=13192
1594,Carlos,Lemos Jr,Escorrega,Gracie Barra,https://www.bjjheroes.com/?p=1594
745,Carlos,Machado,,Machado JJ,https://www.bjjheroes.com/?p=745
9611,Carlos,Melo,,CTA,https://www.bjjheroes.com/?p=9611
396,Carlos,Vieira,Portugues,Cia Paulista,https://www.bjjheroes.com/?p=396
963,Carlos,Vieira Holanda,Esquisito,Checkmat,https://www.bjjheroes.com/?p=963
12346,Catriel,Oliveira,,GF Team,https://www.bjjheroes.com/?p=12346
22,Carlson,Gracie,,Carlson Gracie,https://www.bjjheroes.com/?p=22
1000,Caroline,Lazzer,,Emirates Team,https://www.bjjheroes.com/?p=1000
829,Cassio,Cardoso,,Carlson Gracie,https://www.bjjheroes.com/?p=829
13379,Cassio Felipe,Costa,Laranjinha,Six Blades,https://www.bjjheroes.com/?p=13379
1223,Cassio,Werneck,,,https://www.bjjheroes.com/?p=1223
8562,Catherine,Perret,,Checkmat,https://www.bjjheroes.com/?p=8562
10596,Cleber,Luciano,,,https://www.bjjheroes.com/?p=10596
7657,Cleber,Sousa,Clandestino,Almeida JJ,https://www.bjjheroes.com/?p=7657
428,Celso,Vinicius,Celsinho,Ryan Gracie,https://www.bjjheroes.com/?p=428
929,Cesar,Gracie,,Gracie Elite,https://www.bjjheroes.com/?p=929
2512,Cezar,Guimarães,Casquinha,Top Brother,https://www.bjjheroes.com/?p=2512
9845,Chad,Hardy,,Team Shawn Hammonds,https://www.bjjheroes.com/?p=9845
7652,Charles,Negromonte,,Gracie Barra,https://www.bjjheroes.com/?p=7652
877,Charles,Oliveira,do Bronx,Macaco Gold Team,https://www.bjjheroes.com/?p=877
9545,Charlotte,Von Baumgarten,,Mathias Ribeiro JJ,https://www.bjjheroes.com/?p=9545
13655,Chayse,Diekema,,Frontline / Carlson Gracie,https://www.bjjheroes.com/?p=13655
12708,Chloe,McNally,,Unity JJ,https://www.bjjheroes.com/?p=12708
2402,Christian,Graugart,,,https://www.bjjheroes.com/?p=2402
7808,Christian,Moriarty,Chris,Alliance,https://www.bjjheroes.com/?p=7808
13747,Chris,Tran,Shortround,Team Lloyd Irvin,https://www.bjjheroes.com/?p=13747
7821,Christian,Uflaker,Charopinho,Uflacker Academy,https://www.bjjheroes.com/?p=7821
1155,Cicero,Costha,,PSLPB Cicero Costha,https://www.bjjheroes.com/?p=1155
12663,Claire,North,,,https://www.bjjheroes.com/?p=12663
1523,Clark,Gracie,,Tipping Point BJJ,https://www.bjjheroes.com/?p=1523
7928,Claudia,Doval,,De La Riva JJ,https://www.bjjheroes.com/?p=7928
410,Claudio,Calasans,Juninho,Atos,https://www.bjjheroes.com/?p=410
2100,Claudio,Franca,,,https://www.bjjheroes.com/?p=2100
7749,Claudio,Joanino,,Nova Uniao,https://www.bjjheroes.com/?p=7749
489,Claudio,Silva,"Mineiro, Banheira",,https://www.bjjheroes.com/?p=489
443,Claudio,Mattos,Caloquinha,Gracie Barra,https://www.bjjheroes.com/?p=443
8870,Cleiton,Soares Junior,,Alliance,https://www.bjjheroes.com/?p=8870
7976,Cosmo,Dias,,Nova Uniao,https://www.bjjheroes.com/?p=7976
12950,Cole,Abate,,Art Of Jiu-Jitsu,https://www.bjjheroes.com/?p=12950
9150,Cole,Franson,,Tinguinha JJ,https://www.bjjheroes.com/?p=9150
12940,Cory,Walker,,Team Lloyd Irvin,https://www.bjjheroes.com/?p=12940
