Competing Athlete,Opponent,Event,Method,Result
Aaron Johnson,7672,Quentin Rosensweig,L,Inside heel hook
Aaron Johnson,8190,Neiman Gracie,L,RNC
Aaron Johnson,8785,Richie MartinezRichie Martinez,L,Heel hook
Aaron Johnson,9059,Leo NogueiraLeo Nogueira,L,Points
Aaron Johnson,9110,Romulo AzevedoRomulo Azevedo,L,N/A
Aaron Johnson,9116,Abraham MarteAbraham Marte,L,Cross choke
Aaron Johnson,9373,Andre GalvaoAndre Galvao,L,Choke
Aaron Johnson,9500,Joao Soares,L,Triangle
Aaron Johnson,10087,Bernardo FariaBernardo Faria,L,Triangle armbar
Aaron Johnson,10120,Joao RochaJoao Rocha,L,Choke from back
Aaron Johnson,10274,Marcos TinocoMarcos Tinoco,L,Points
Aaron Johnson,10489,Mike Hillebrand,L,Inside heel hook
Aaron Johnson,10684,Dillon DanisDillon Danis,L,Arm in guillotine
Aaron Johnson,10944,Yuri SimoesYuri Simoes,L,Pts: 19x0
Aaron Johnson,11671,Leo NogueiraLeo Nogueira,L,Points
Aaron Johnson,11687,Helton JoseHelton Jose,L,Pts: 10x0
Aaron Johnson,11947,Jonathan SatavaJonathan Satava,L,Points
Aaron Johnson,12001,Keenan CorneliusKeenan Cornelius,L,Points
Aaron Johnson,12224,Tanner RiceTanner Rice,L,Pts: 4x2
Aaron Johnson,12416,Gianni GrippoGianni Grippo,L,Points
Aaron Johnson,13021,Joao RochaJoao Rocha,L,Botinha
Aaron Johnson,13190,Leandro LoLeandro Lo,L,Brabo choke
Aaron Johnson,13426,Mahamed AlyMahamed Aly,L,Calf slicer
Aaron Johnson,13434,DJ JacksonDJ Jackson,L,Points
Aaron Johnson,13647,Gordon RyanGordon Ryan,L,Reverse triangle
Aaron Johnson,14552,Craig JonesCraig Jones,L,Inside heel hook
Aaron Johnson,14715,Joao AssisJoao Assis,L,Pts: 2x0
Aaron Johnson,14727,Keenan CorneliusKeenan Cornelius,L,RNC
Aaron Johnson,14986,Dany GerardDany Gerard,L,"Pts: 0x0, Adv"
Aaron Johnson,15220,Matt LeightonMatt Leighton,L,Points
Aaron Johnson,15311,Tanner RiceTanner Rice,L,DQ
Aaron Johnson,15440,Tanner RiceTanner Rice,L,Pts: 7x2
Aaron Johnson,16312,Matt LeightonMatt Leighton,L,Triangle armbar
Aaron Johnson,16363,Fellipe TrovoFellipe Trovo,L,Pts: 4x2
Aaron Johnson,16376,Victor SilverioVictor Silverio,L,Referee Decision
Aaron Johnson,17390,Rafael VasconcelosRafael Vasconcelos,L,DQ
Aaron Johnson,17397,Diogo SampaioDiogo Sampaio,L,DQ
Aaron Johnson,18699,Max GimenisMax Gimenis,L,Pts: 6x0
Aaron Johnson,18722,Yuri SimoesYuri Simoes,L,Pts: 5x0
Aaron Johnson,18872,Keenan CorneliusKeenan Cornelius,L,Pts: 34x0
Aaron Johnson,19658,Patrick GaudioPatrick Gaudio,L,Pts: 15x0
Aaron Johnson,19812,Kaynan DuarteKaynan Duarte,L,Pts: 6x1
Aaron Johnson,20713,Mahamed AlyMahamed Aly,L,Choke
Aaron Johnson,20988,Craig JonesCraig Jones,L,RNC
Aaron Johnson,21271,Tim SpriggsTim Spriggs,L,Referee Decision
Aaron Johnson,21626,Max GimenisMax Gimenis,L,Pts: 11x0
Aaron Johnson,21851,James PuopoloJames Puopolo,L,Pts: 3x0
Aaron Johnson,21930,Marcus AlmeidaMarcus Almeida,L,Pts: 3x0
Aaron Johnson,22527,Kyle BoehmKyle Boehm,L,EBI/OT
Aaron Johnson,22559,Kyle BoehmKyle Boehm,L,EBI/OT
Aaron Johnson,22839,Victor HugoVictor Hugo,L,Triangle armbar
Aaron Johnson,22924,Freddy Vosgrone,L,Referee Decision
Aaron Johnson,23480,Gordon RyanGordon Ryan,L,Katagatame
Aaron Johnson,24083,Rafael VasconcelosRafael Vasconcelos,L,Pts: 3x0
Aaron Johnson,24089,Fellipe TrovoFellipe Trovo,L,Triangle
Aaron Johnson,24124,Paulo GabrielPaulo Gabriel,L,Pts: 6x4
Aaron Johnson,24242,Guilherme AugustoGuilherme Augusto,L,Arm in Ezekiel
Aaron Johnson,24279,Daishi Goto,L,DQ
Aaron Johnson,24349,William TackettWilliam Tackett,L,Katagatame
Aaron Johnson,24535,Kaynan DuarteKaynan Duarte,L,Armbar
Aaron Johnson,25136,Max GimenisMax Gimenis,L,Referee Decision
Aaron Johnson,25502,Vinicius TratorVinicius Trator,L,Pts: 5x0
Aaron Johnson,25613,Kaynan DuarteKaynan Duarte,L,Points
Aaron Johnson,26071,Matheus GabrielMatheus Gabriel,L,Pts: 2x0
Aaron Johnson,26214,Victor HugoVictor Hugo,L,Pts: 2x2
Aaron Johnson,26946,Gustavo BatistaGustavo Batista,L,Referee Decision
Aaron Johnson,27929,Tim SpriggsTim Spriggs,L,Referee Decision
Aaron Johnson,7673,Vitor Schlosser,W,Toe hold
Aaron Johnson,7674,Ricardo Bastos,W,Straight ankle lock
Aaron Johnson,8857,Joseph Cashin,W,Points
Aaron Johnson,8858,Gordon RyanGordon Ryan,W,Points
Aaron Johnson,9109,Wellington Peroto,W,Straight ankle lock
Aaron Johnson,9499,Lincoln Pereira,W,Choke from back
Aaron Johnson,10074,Choi Choi,W,"Pts: 0x0, Adv"
Aaron Johnson,10678,Leo Davila,W,Straight ankle lock
Aaron Johnson,10681,Samir Abdolkader,W,Flying armbar
Aaron Johnson,10943,Eliot MarshallEliot Marshall,W,Toe hold
Aaron Johnson,11940,Shaun Dufree,W,Toe hold
Aaron Johnson,12000,William Nyman,W,Submission
Aaron Johnson,12399,Daniel Richards,W,Points
Aaron Johnson,12400,Christian Simmerling,W,Points
Aaron Johnson,12414,Joao Paulo,W,Points
Aaron Johnson,13182,Josh Bowlin,W,Pts: 7x6
Aaron Johnson,13240,Kaliffa Oliviera,W,Referee Decision
Aaron Johnson,13550,Kory Acchione,W,Referee Decision
Aaron Johnson,13984,Leo Davilla,W,Armbar
Aaron Johnson,13985,Taniel Santos,W,Straight ankle lock
Aaron Johnson,14025,Oleksandr Karliychuk,W,Straight ankle lock
Aaron Johnson,14027,Matt LeightonMatt Leighton,W,Referee Decision
Aaron Johnson,14544,Matt Kirchwhem,W,EBI/OT
Aaron Johnson,14549,A. Kimler,W,Armbar
Aaron Johnson,14712,Paul ArdilaPaul Ardila,W,Pts: 4x0
Aaron Johnson,14988,Vitor Schlosser,W,Choke from back
Aaron Johnson,15060,Gilvan Costa,W,Straight ankle lock
Aaron Johnson,15061,Inacio NetoInacio Neto,W,Kneebar
Aaron Johnson,15218,Kenneth Brown,W,Pts: 4x2
Aaron Johnson,15310,Frisco DeLeon,W,Adv
Aaron Johnson,15347,Rodrigo FreitasRodrigo Freitas,W,Calf slicer
Aaron Johnson,15355,Tanner RiceTanner Rice,W,Kneebar
Aaron Johnson,15436,Wellington Peroto,W,Straight ankle lock
Aaron Johnson,15973,Thiago Jiuliani,W,Points
Aaron Johnson,15974,Nicholas Penzer,W,Straight ankle lock
Aaron Johnson,17455,Roberto Torralbas,W,Pts: 2x0
Aaron Johnson,17456,Jackson SousaJackson Sousa,W,Footlock
Aaron Johnson,18055,Tom deBlassTom deBlass,W,Referee Decision
Aaron Johnson,18164,Riley Mccormick,W,Reverse triangle
Aaron Johnson,18166,JeQuan Williamson,W,Triangle armbar
Aaron Johnson,18167,Andrew Tevay,W,Kneebar
Aaron Johnson,18170,Hudson Taylor,W,Kneebar
Aaron Johnson,18422,Kevin Gallager,W,Points
Aaron Johnson,18696,Satoshi Ishii,W,Triangle
Aaron Johnson,18706,Ben Hodgkinson,W,Straight ankle lock
Aaron Johnson,18721,David GarmoDavid Garmo,W,Pts: 10x2
Aaron Johnson,19025,Ricardo AbreuRicardo Abreu,W,Pts: 1x0
Aaron Johnson,19356,Gustavo Andrade,W,Straight ankle lock
Aaron Johnson,19358,Nisar LoynabNisar Loynab,W,Straight ankle lock
Aaron Johnson,19407,Matt LeightonMatt Leighton,W,Straight ankle lock
Aaron Johnson,19656,M Sturua,W,Choke from back
Aaron Johnson,19800,Jackson SousaJackson Sousa,W,Inside heel hook
Aaron Johnson,19801,Valdir AraujoValdir Araujo,D,---
Aaron Johnson,19803,Felipe PenaFelipe Pena,W,Inside heel hook
Aaron Johnson,20706,Lucasz Gustaw,W,Mounted choke
Aaron Johnson,21624,Paulo Brasil,W,Submission
Aaron Johnson,21635,Briean Beaury,W,Armlock
Aaron Johnson,21639,Todd Mueckenheim,W,Kimura
Aaron Johnson,21923,Jon BlankJon Blank,W,Straight ankle lock
Aaron Johnson,22518,Viktor Vaughn,W,Heel hook
Aaron Johnson,22522,Guybson SaGuybson Sa,W,Heel hook
Aaron Johnson,22526,Quentin Rosenzweig,W,Kneebar
Aaron Johnson,22547,Keith KrikorianKeith Krikorian,W,EBI/OT
Aaron Johnson,22553,William Vincent,W,Straignt ankle lock
Aaron Johnson,22557,William TackettWilliam Tackett,W,EBI/OT
Aaron Johnson,23472,Angelo ClaiborneAngelo Claiborne,W,Straight ankle lock
Aaron Johnson,23924,Michael Egley,W,Straight ankle lock
Aaron Johnson,23961,Rafael LovatoRafael Lovato,W,Referee Decision
Aaron Johnson,24081,Bruno Assis,W,Pts: 2x1
Aaron Johnson,24087,Eric Schlosser,W,DQ
Aaron Johnson,24278,Don Scozzari,W,Kneebar
Aaron Johnson,24338,Fellipe TrovoFellipe Trovo,W,Referee Decision
Aaron Johnson,24534,Arnaldo MaidanaArnaldo Maidana,W,Straight ankle lock
Aaron Johnson,25074,Arnaldo MaidanaArnaldo Maidana,W,Violin armlock
Aaron Johnson,25273,Jackson DouglasJackson Douglas,W,Violin armlock
Aaron Johnson,25275,Joe DierkhisingJoe Dierkhising,W,"Pts: 2x2, Adv"
Aaron Johnson,25280,Rida HaisamRida Haisam,W,"Pts: 0x0, Adv"
Aaron Johnson,25285,David GarmoDavid Garmo,W,Kneebar
