id,title,cover_image,cover_image_fallback,url,days_to_start,eventPeriod,eventEnded,location_country,location_country_human,location_city,location_lat,location_long,categoryGroups,startdate,enddate,federation_event_category_id,federation_event_season_id
19787,ADCC Latinoamérica - Buenos Aires,https://smoothcomp.com/pictures/t/5289180-uh4b/adcc-latinoamerica-buenos-aires-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/19787,-11,March 08,True,AR,Argentina,Ciudad de Buenos Aires,-34.6862883,-58.4548559,['4'],2025-03-08,2025-03-08,,390.0
19885,"ADCC US Open - Portland, OR",https://smoothcomp.com/pictures/t/5001812-3ui9/adcc-us-open-portland-or-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/19885,-25,February 22,True,US,United States,Portland,45.6077558,-122.6875365,['4'],2025-02-22,2025-02-22,,390.0
19790,ADCC Brazil Open - São Paulo,https://smoothcomp.com/pictures/t/5225940-ix5v/adcc-brazil-open-sao-paulo-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/19790,-32,February 15,True,BR,Brazil,SAO PAULO,-23.6023090,-46.7211575,['4'],2025-02-15,2025-02-15,,390.0
20721,ADCC CANADA TORONTO OPEN 2025,https://smoothcomp.com/pictures/t/5193303-j38x/adcc-canada-toronto-open-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/20721,-46,February 01,True,CA,Canada,"Toronto, Ontario",0.0000000,0.0000000,['4'],2025-02-01,2025-02-01,,390.0
20699,ADCC Brazil Open - Natal ,https://smoothcomp.com/pictures/t/5144504-a9s5/adcc-brazil-open-natal-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/20699,-53,January 25,True,BR,Brazil,Natal,-5.7943748,-35.2119054,['4'],2025-01-25,2025-01-25,,390.0
19883,"ADCC US Open - San Diego, CA",https://smoothcomp.com/pictures/t/4957036-grgz/adcc-us-open-san-diego-ca-2025.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/19883,-60,January 18,True,US,United States,San Diego,32.7631702,-117.1678503,['4'],2025-01-18,2025-01-18,,390.0
19275,"ADCC US Open - Austin, TX",https://smoothcomp.com/pictures/t/4920114-5ckc/adcc-us-open-austin-tx-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/19275,-109,2024 November 30,True,US,United States,"Austin, TX",30.5389854,-97.6974991,['4'],2024-11-30,2024-11-30,,199.0
19511,ADCC Brazil Open - Balneário Camboriú 2nd Edition,https://smoothcomp.com/pictures/t/4883994-f8b2/adcc-brazil-open-balneario-camboriu-2nd-edition-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/19511,-116,2024 November 23,True,BR,Brazil,BALNEARIO CAMBORIÚ,-26.9800414,-48.6473859,['4'],2024-11-23,2024-11-23,,199.0
19276,ADCC CANADA OPEN NIAGARA 2024,https://smoothcomp.com/pictures/t/4791188-e1hh/adcc-canada-open-niagara-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/19276,-123,2024 November 16,True,CA,Canada,Niagara Falls,43.0760713,-79.0850185,['4'],2024-11-16,2024-11-16,,199.0
19072,"ADCC US Open - Miami, FL",https://smoothcomp.com/pictures/t/4920104-qnce/adcc-us-open-miami-fl-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/19072,-130,2024 November 09,True,US,United States,"Miami, Florida",25.7479995,-80.3719545,['4'],2024-11-09,2024-11-09,,199.0
18628,ADCC CANADA OPEN - 2024 VANCOUVER ,https://smoothcomp.com/pictures/t/4599138-ecwa/adcc-canada-open-2024-vancouver.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/18628,-144,2024 October 26,True,CA,Canada,"Vancouver, BC",49.1747193,-123.1513624,['4'],2024-10-26,2024-10-26,,199.0
17844,ADCC Latinoamérica - Peru Edition,https://smoothcomp.com/pictures/t/4878115-hjj9/adcc-latinoamerica-peru-edition-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/17844,-151,2024 October 19,True,PE,Peru,Lima,-12.0796903,-77.0010405,['4'],2024-10-19,2024-10-19,,199.0
19216,ADCC Mexico Open - MEXICO CITY 2024,https://smoothcomp.com/pictures/t/4745890-3x1i/adcc-mexico-open-mexico-city-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/19216,-151,2024 October 19,True,MX,Mexico,CDMX,0.0000000,0.0000000,['4'],2024-10-19,2024-10-19,,199.0
18527,"ADCC US Open - Chicago, IL",https://smoothcomp.com/pictures/t/4879199-tyqa/adcc-us-open-chicago-il-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/18527,-172,2024 September 28,True,US,United States,Chicago,41.7743098,-87.7596028,['4'],2024-09-28,2024-09-28,,199.0
17278,ADCC Brazil Open - São Paulo 3rd Edition,https://smoothcomp.com/pictures/t/4732572-6qrd/adcc-brazil-open-sao-paulo-3rd-edition-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/17278,-193,2024 September 07,True,BR,Brazil,SAO PAULO,-23.6015036,-46.7210874,['4'],2024-09-07,2024-09-07,,199.0
17198,"ADCC US Open - Las Vegas, NV",https://smoothcomp.com/pictures/t/4254550-h21c/adcc-us-open-las-vegas-nv-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/17198,-216,2024 August 15,True,US,United States,"Las Vegas, NV",36.1035663,-115.1733899,['4'],2024-08-15,2024-08-15,,199.0
17265,ADCC Brazil Open - Balneário Camboriú,https://smoothcomp.com/pictures/t/4187647-fmd/adcc-brazil-open-balneario-camboriu-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/17265,-235,2024 July 27,True,BR,Brazil,BALNEARIO CAMBORIÚ,-26.9800466,-48.6474844,['4'],2024-07-27,2024-07-27,,199.0
16662,"ADCC US Open - Orlando, FL",https://smoothcomp.com/pictures/t/3973206-xh9r/adcc-us-open-orlando-fl-2024.jpg,/build/webpack/img/sc/fallback.8fe47956faa4fb29c29f..jpg,https://adcc.smoothcomp.com/en/event/16662,-256,2024 July 06,True,US,United States,"Orlando, FL",28.4248274,-81.4694363,['4'],2024-07-06,2024-07-06,,199.0
